MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2139758	Clca2	chloride channel accessory 2	3		chloride channel activity			IMP		J:93468 	
MGI:2139758	Clca2	chloride channel accessory 2	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:2139758	Clca2	chloride channel accessory 2	3		ligand-gated ion channel activity			IDA		J:93468 	
MGI:2139758	Clca2	chloride channel accessory 2	3		ligand-gated ion channel activity			IMP		J:93468 	
MGI:1316732	Clca3a1	chloride channel accessory 3A1	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:1316732	Clca3a1	chloride channel accessory 3A1	3		intracellular calcium activated chloride channel activity			IDA		J:51218 	
MGI:1931471	Clca3a2	chloride channel accessory 3A2	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:1931471	Clca3a2	chloride channel accessory 3A2	3		intracellular calcium activated chloride channel activity			ISA	O88860 	J:72403 	
MGI:2181989	Clca3b	chloride channel accessory 3B	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:2139744	Clca4a	chloride channel accessory 4A	3		chloride channel activity			IDA		J:93468 	
MGI:2139744	Clca4a	chloride channel accessory 4A	3		chloride channel activity			IMP		J:93468 	
MGI:2139744	Clca4a	chloride channel accessory 4A	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:2139744	Clca4a	chloride channel accessory 4A	3		ligand-gated ion channel activity			IMP		J:93468 	
MGI:2139790	Clca4b	chloride channel accessory 4B	3		intracellular calcium activated chloride channel activity			IBA	PTN000061437 	J:265628 	
MGI:2385186	Clcc1	chloride channel CLIC-like 1	3		chloride channel activity			IBA	PTN002147387 	J:265628 	
MGI:2385186	Clcc1	chloride channel CLIC-like 1	3		chloride channel activity			ISO	RGD:708359 	J:155856 	
MGI:88417	Clcn1	chloride channel, voltage-sensitive 1	6		chloride channel activity			IEA	KW-0869 	J:60000 	
MGI:88417	Clcn1	chloride channel, voltage-sensitive 1	6		voltage-gated chloride channel activity			IBA	PTN000189253 	J:265628 	
MGI:88417	Clcn1	chloride channel, voltage-sensitive 1	6		voltage-gated chloride channel activity			ISO	RGD:2360 	J:155856 	
MGI:88417	Clcn1	chloride channel, voltage-sensitive 1	6		voltage-gated chloride channel activity			ISO	P35523 	J:164563 	
MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	16		chloride channel activity			IEA	KW-0869 	J:60000 	
MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	16		voltage-gated chloride channel activity			IBA	PTN000189253 	J:265628 	
MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	16		voltage-gated chloride channel activity	happens in parotid duct,happens in acinar cell		IMP	MGI:2183262 	J:77673 	
MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	16		voltage-gated chloride channel activity			ISO	RGD:2361 	J:155856 	
MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	16		voltage-gated chloride channel activity			ISO	P51788 	J:164563 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8		chloride channel activity			ISO	RGD:621219 	J:155856 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8		chloride channel activity			ISO	P51790 	J:164563 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8		ion channel activity			ISO	RGD:621219 	J:155856 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8		voltage-gated chloride channel activity			IBA	PTN000189250 	J:265628 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8		voltage-gated chloride channel activity			ISO	RGD:621219 	J:155856 	
MGI:103555	Clcn3	chloride channel, voltage-sensitive 3	8	NOT	volume-sensitive chloride channel activity	happens in hepatocyte|happens in pancreatic acinar cell		IMP	MGI:2183297 	J:77635 	
MGI:104571	Clcn4	chloride channel, voltage-sensitive 4	7		voltage-gated chloride channel activity			IBA	PTN000189250 	J:265628 	
MGI:99486	Clcn5	chloride channel, voltage-sensitive 5	X		chloride channel activity			ISO	P51793 	J:73065 	
MGI:99486	Clcn5	chloride channel, voltage-sensitive 5	X		voltage-gated chloride channel activity			IBA	PTN000189250 	J:265628 	
MGI:99486	Clcn5	chloride channel, voltage-sensitive 5	X		voltage-gated chloride channel activity			ISO	RGD:2362 	J:155856 	
MGI:1347049	Clcn6	chloride channel, voltage-sensitive 6	4		voltage-gated chloride channel activity			IEA	IPR001807 IPR002248 	J:72247 	
MGI:1347048	Clcn7	chloride channel, voltage-sensitive 7	17		voltage-gated chloride channel activity			IEA	IPR001807 IPR002249 	J:72247 	
MGI:1329026	Clcnka	chloride channel, voltage-sensitive Ka	4		chloride channel activity			ISO	RGD:68435 	J:155856 	
MGI:1329026	Clcnka	chloride channel, voltage-sensitive Ka	4		voltage-gated chloride channel activity			IBA	PTN000189253 	J:265628 	
MGI:1930643	Clcnkb	chloride channel, voltage-sensitive Kb	4		chloride channel activity			ISO	RGD:628639 	J:155856 	
MGI:1930643	Clcnkb	chloride channel, voltage-sensitive Kb	4		voltage-gated chloride channel activity			IBA	PTN000189253 	J:265628 	
MGI:1313314	Cldn4	claudin 4	5		chloride channel activity			IMP		J:165532 	
MGI:2652030	Cldn17	claudin 17	16		chloride channel activity			IEA	KW-0869 	J:60000 	
MGI:2148924	Clic1	chloride intracellular channel 1	17		chloride channel activity			IBA	PTN002258658 	J:265628 	
MGI:2148924	Clic1	chloride intracellular channel 1	17		chloride channel activity			ISO	O00299 	J:73065 	
MGI:1916704	Clic3	chloride intracellular channel 3	2		chloride channel activity			IBA	PTN002258658 	J:265628 	
MGI:1916704	Clic3	chloride intracellular channel 3	2		chloride channel activity			ISO	O95833 	J:164563 	
MGI:1352754	Clic4	chloride intracellular channel 4 (mitochondrial)	4		chloride channel activity			IBA	PTN002258658 	J:265628 	
MGI:1352754	Clic4	chloride intracellular channel 4 (mitochondrial)	4		chloride channel activity			ISO	AF104119 	J:58963 	
MGI:1352754	Clic4	chloride intracellular channel 4 (mitochondrial)	4		chloride channel activity			ISO	RGD:61857 	J:155856 	
MGI:1917912	Clic5	chloride intracellular channel 5	17		chloride channel activity			IBA	PTN002258658 	J:265628 	
MGI:1917912	Clic5	chloride intracellular channel 5	17		chloride channel activity			ISO	RGD:620659 	J:155856 	
MGI:2146607	Clic6	chloride intracellular channel 6	16		chloride channel activity			IEA	KW-0869 	J:60000 	
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	5		intracellular cAMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	5		intracellular cGMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	5		intracellular cGMP-activated cation channel activity			ISO	RGD:621815 	J:155856 	
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	5		intracellular cyclic nucleotide activated cation channel activity			IEA	IPR032945 	J:72247 	
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	5		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:108040	Cnga2	cyclic nucleotide gated channel alpha 2	X		intracellular cAMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:108040	Cnga2	cyclic nucleotide gated channel alpha 2	X		intracellular cGMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:108040	Cnga2	cyclic nucleotide gated channel alpha 2	X		ion channel activity			IMP	MGI:2159016 	J:67661 	
MGI:108040	Cnga2	cyclic nucleotide gated channel alpha 2	X		voltage-gated potassium channel activity			IEA	IPR003938 	J:72247 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		intracellular cAMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		intracellular cGMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		intracellular cGMP-activated cation channel activity			ISO	RGD:70948 	J:155856 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		intracellular cGMP-activated cation channel activity			ISO	Q16281 	J:164563 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		intracellular cyclic nucleotide activated cation channel activity			IPI	PR:Q9JJZ9 	J:60247 	
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	1		ion channel activity			IEA	IPR005821 	J:72247 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		intracellular cAMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		intracellular cAMP-activated cation channel activity			ISO	RGD:619844 	J:155856 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		intracellular cGMP-activated cation channel activity			IBA	PTN000025806 	J:265628 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		intracellular cGMP-activated cation channel activity			ISO	RGD:619844 	J:155856 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		intracellular cyclic nucleotide activated cation channel activity			ISO	RGD:619844 	J:155856 	
MGI:2664099	Cnga4	cyclic nucleotide gated channel alpha 4	7		ion channel activity			TAS		J:82742 	
MGI:2664102	Cngb1	cyclic nucleotide gated channel beta 1	8		cyclic nucleotide-gated ion channel activity			IMP	MGI:3527896 	J:117253 	
MGI:2664102	Cngb1	cyclic nucleotide gated channel beta 1	8		intracellular cAMP-activated cation channel activity			IBA	PTN000025739 	J:265628 	
MGI:2664102	Cngb1	cyclic nucleotide gated channel beta 1	8		intracellular cGMP-activated cation channel activity			IBA	PTN000025739 	J:265628 	
MGI:2664102	Cngb1	cyclic nucleotide gated channel beta 1	8		intracellular cGMP-activated cation channel activity			ISO	Q14028 	J:164563 	
MGI:1353562	Cngb3	cyclic nucleotide gated channel beta 3	4		intracellular cAMP-activated cation channel activity			IBA	PTN000025739 	J:265628 	
MGI:1353562	Cngb3	cyclic nucleotide gated channel beta 3	4		intracellular cGMP-activated cation channel activity			IBA	PTN000025739 	J:265628 	
MGI:1353562	Cngb3	cyclic nucleotide gated channel beta 3	4		intracellular cGMP-activated cation channel activity			IPI	PR:Q9JJZ8 	J:60247 	
MGI:1353562	Cngb3	cyclic nucleotide gated channel beta 3	4		intracellular cGMP-activated cation channel activity			ISO	Q9NQW8 	J:164563 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:71119 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in GABA-ergic synapse,happens in hippocampal formation		IDA		J:71119 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:71119 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in hippocampal formation,happens in GABA-ergic synapse		IMP		J:71119 	
MGI:2151013	Erc1	ELKS/RAB6-interacting/CAST family member 1	6		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in GABA-ergic synapse,happens in hippocampal formation		IDA		J:216293 	
MGI:2151013	Erc1	ELKS/RAB6-interacting/CAST family member 1	6		voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	happens in GABA-ergic synapse,happens in hippocampal formation		IMP		J:216293 	
MGI:1889005	Fxyd4	FXYD domain-containing ion transport regulator 4	6		potassium channel activity			ISO	RGD:70998 	J:155856 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11	contributes_to	GABA-gated chloride ion channel activity			IDA		J:281261 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11	contributes_to	GABA-gated chloride ion channel activity			ISO	P14867 	J:164563 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		GABA-gated chloride ion channel activity			ISO	P14867 	J:164563 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in hippocampal formation		EXP		J:103381 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in hippocampal formation		IDA		J:103381 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in inhibitory synapse,happens in hippocampal neuron		IMP		J:238453 	
MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in hippocampal formation		IMP		J:103381 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		GABA-gated chloride ion channel activity			ISO	P47869 	J:164563 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	5		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in UBERON:0001876		EXP		J:263414 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in UBERON:0001876		IDA		J:263414 	
MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			ISO	RGD:2648 	J:155856 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95616	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	5		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			ISO	RGD:621670 	J:155856 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	7		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			ISO	RGD:61859 	J:155856 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11	contributes_to	GABA-gated chloride ion channel activity			ISO	RGD:61861 	J:155856 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		inhibitory extracellular ligand-gated ion channel activity			ISO	RGD:61861 	J:155856 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		ion channel activity			IEA	IPR001390 IPR006028 IPR006201 	J:72247 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in cerebellar Golgi cell to granule cell synapse		EXP		J:265630 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:95618	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in cerebellar Golgi cell to granule cell synapse		IDA		J:265630 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		anion channel activity			ISO	RGD:2649 	J:155856 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		GABA-gated chloride ion channel activity			ISO	P18505 	J:164563 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		ion channel activity			IEA	IPR002289 IPR006028 IPR006201 	J:72247 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		ligand-gated ion channel activity			ISO	RGD:2649 	J:155856 	
MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	5		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			ISO	RGD:2649 	J:155856 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		chloride channel activity			ISO	RGD:2650 	J:155856 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11	contributes_to	GABA-gated chloride ion channel activity			IDA		J:281261 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11	contributes_to	GABA-gated chloride ion channel activity			ISO	P47870 	J:164563 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		inhibitory extracellular ligand-gated ion channel activity			ISO	RGD:2650 	J:155856 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		ion channel activity			IEA	IPR002289 IPR006028 IPR006201 	J:72247 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in cerebellum		IDA		J:224457 	
MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	11		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in cerebellum		IMP		J:224457 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		chloride channel activity			ISO	RGD:2651 	J:155856 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7	contributes_to	GABA-gated chloride ion channel activity			IDA		J:281261 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		GABA-gated chloride ion channel activity			IMP		J:39801 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		GABA-gated chloride ion channel activity			ISO	P28472 	J:164563 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		ion channel activity			IDA		J:297337 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in cerebral cortex		IDA		J:102972 	
MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	7		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in cerebral cortex		IMP		J:102972 	
MGI:95622	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	4	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:95622	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	4		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
MGI:95622	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	4		ion channel activity			IEA	IPR006028 IPR006201 	J:72247 	
MGI:95622	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	4		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in hippocampal formation		IDA		J:88206 	
MGI:95622	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	4		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	happens in GABA-ergic synapse,happens in hippocampal formation		IMP		J:88206 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X		GABA-gated chloride ion channel activity			ISO	P78334 	J:164563 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X		inhibitory extracellular ligand-gated ion channel activity			IBA	PTN001055383 	J:265628 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			IBA	PTN000436343 	J:265628 	
MGI:1330235	Gabre	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon	X		transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential			ISO	RGD:68320 	J:155856 	
MGI:103156	Gabrg1	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1	5	contributes_to	chloride channel activity			IBA	PTN001055382 	J:265628 	
MGI:103156	Gabrg1	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1	5		extracellular ligand-gated ion channel activity			IEA	IPR006202 IPR036734 	J:72247 	
